['X-LIC-LOCATION:Pacific/Auckland', 'Sunday (02:00)', 'Sunday (03:00)', 'Wednesday (00:00)', 'Wednesday (00:15)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Friday (11:20)', 'Friday (12:20)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Friday (12:25)', 'Friday (13:25)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Friday (14:15)', 'Friday (15:15)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Monday (08:45)', 'Monday (09:45)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Monday (09:50)', 'Monday (10:50)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Monday (11:20)', 'Monday (12:20)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Monday (12:25)', 'Monday (13:25)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Monday (14:15)', 'Monday (15:15)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Tuesday (08:45)', 'Tuesday (09:45)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Tuesday (09:50)', 'Tuesday (10:50)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Tuesday (11:20)', 'Tuesday (12:20)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Tuesday (12:25)', 'Tuesday (13:25)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Tuesday (14:15)', 'Tuesday (15:15)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Wednesday (09:10)', 'Wednesday (10:05)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Wednesday (10:10)', 'Wednesday (11:05)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Wednesday (11:35)', 'Wednesday (12:30)']
['SUMMARY:ATAWHAI', 'LOCATION:O3', 'DESCRIPTION:ZHN', 'Wednesday (12:35)', 'Wednesday (13:30)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Wednesday (14:20)', 'Wednesday (15:15)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Thursday (08:45)', 'Thursday (09:45)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Thursday (09:50)', 'Thursday (10:50)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Thursday (11:20)', 'Thursday (12:20)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Thursday (12:25)', 'Thursday (13:25)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Thursday (14:15)', 'Thursday (15:15)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Monday (08:45)', 'Monday (09:45)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Monday (09:50)', 'Monday (10:50)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Monday (11:20)', 'Monday (12:20)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Monday (12:25)', 'Monday (13:25)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Monday (14:15)', 'Monday (15:15)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Tuesday (08:45)', 'Tuesday (09:45)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Tuesday (09:50)', 'Tuesday (10:50)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Tuesday (11:20)', 'Tuesday (12:20)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Tuesday (12:25)', 'Tuesday (13:25)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Tuesday (14:15)', 'Tuesday (15:15)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Wednesday (09:10)', 'Wednesday (10:05)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Wednesday (10:10)', 'Wednesday (11:05)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Wednesday (11:35)', 'Wednesday (12:30)']
['SUMMARY:ATAWHAI', 'LOCATION:O3', 'DESCRIPTION:ZHN', 'Wednesday (12:35)', 'Wednesday (13:30)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Wednesday (14:20)', 'Wednesday (15:15)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Thursday (08:45)', 'Thursday (09:45)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Thursday (09:50)', 'Thursday (10:50)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Thursday (11:20)', 'Thursday (12:20)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Thursday (12:25)', 'Thursday (13:25)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Thursday (14:15)', 'Thursday (15:15)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Friday (08:45)', 'Friday (09:45)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Friday (09:50)', 'Friday (10:50)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Friday (11:20)', 'Friday (12:20)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Friday (12:25)', 'Friday (13:25)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Friday (14:15)', 'Friday (15:15)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Monday (08:45)', 'Monday (09:45)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Monday (09:50)', 'Monday (10:50)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Monday (11:20)', 'Monday (12:20)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Monday (12:25)', 'Monday (13:25)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Monday (14:15)', 'Monday (15:15)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Tuesday (08:45)', 'Tuesday (09:45)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Tuesday (09:50)', 'Tuesday (10:50)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Tuesday (11:20)', 'Tuesday (12:20)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Tuesday (12:25)', 'Tuesday (13:25)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Tuesday (14:15)', 'Tuesday (15:15)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Wednesday (09:10)', 'Wednesday (10:05)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Wednesday (10:10)', 'Wednesday (11:05)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Wednesday (11:35)', 'Wednesday (12:30)']
['SUMMARY:ATAWHAI', 'LOCATION:O3', 'DESCRIPTION:ZHN', 'Wednesday (12:35)', 'Wednesday (13:30)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Wednesday (14:20)', 'Wednesday (15:15)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Thursday (08:45)', 'Thursday (09:45)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Thursday (09:50)', 'Thursday (10:50)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Thursday (11:20)', 'Thursday (12:20)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Thursday (12:25)', 'Thursday (13:25)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Thursday (14:15)', 'Thursday (15:15)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Friday (08:45)', 'Friday (09:45)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Friday (09:50)', 'Friday (10:50)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Friday (11:20)', 'Friday (12:20)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Friday (12:25)', 'Friday (13:25)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Friday (14:15)', 'Friday (15:15)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Monday (08:45)', 'Monday (09:45)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Monday (09:50)', 'Monday (10:50)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Monday (11:20)', 'Monday (12:20)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Monday (12:25)', 'Monday (13:25)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Monday (14:15)', 'Monday (15:15)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Tuesday (08:45)', 'Tuesday (09:45)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Tuesday (09:50)', 'Tuesday (10:50)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Tuesday (11:20)', 'Tuesday (12:20)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Tuesday (12:25)', 'Tuesday (13:25)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Tuesday (14:15)', 'Tuesday (15:15)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Wednesday (09:10)', 'Wednesday (10:05)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Wednesday (10:10)', 'Wednesday (11:05)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Wednesday (11:35)', 'Wednesday (12:30)']
['SUMMARY:ATAWHAI', 'LOCATION:O3', 'DESCRIPTION:ZHN', 'Wednesday (12:35)', 'Wednesday (13:30)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Wednesday (14:20)', 'Wednesday (15:15)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Thursday (08:45)', 'Thursday (09:45)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Thursday (09:50)', 'Thursday (10:50)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Thursday (11:20)', 'Thursday (12:20)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Thursday (12:25)', 'Thursday (13:25)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Thursday (14:15)', 'Thursday (15:15)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Friday (08:45)', 'Friday (09:45)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Friday (09:50)', 'Friday (10:50)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Friday (11:20)', 'Friday (12:20)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Friday (12:25)', 'Friday (13:25)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Friday (14:15)', 'Friday (15:15)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Monday (08:45)', 'Monday (09:45)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Monday (09:50)', 'Monday (10:50)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Monday (11:20)', 'Monday (12:20)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Monday (12:25)', 'Monday (13:25)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Monday (14:15)', 'Monday (15:15)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Tuesday (08:45)', 'Tuesday (09:45)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Tuesday (09:50)', 'Tuesday (10:50)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Tuesday (11:20)', 'Tuesday (12:20)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Tuesday (12:25)', 'Tuesday (13:25)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Tuesday (14:15)', 'Tuesday (15:15)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Wednesday (09:10)', 'Wednesday (10:05)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Wednesday (10:10)', 'Wednesday (11:05)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Wednesday (11:35)', 'Wednesday (12:30)']
['SUMMARY:ATAWHAI', 'LOCATION:O3', 'DESCRIPTION:ZHN', 'Wednesday (12:35)', 'Wednesday (13:30)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Wednesday (14:20)', 'Wednesday (15:15)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Thursday (08:45)', 'Thursday (09:45)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Thursday (09:50)', 'Thursday (10:50)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Thursday (11:20)', 'Thursday (12:20)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Thursday (12:25)', 'Thursday (13:25)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Thursday (14:15)', 'Thursday (15:15)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Friday (08:45)', 'Friday (09:45)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Friday (09:50)', 'Friday (10:50)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Friday (11:20)', 'Friday (12:20)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Friday (12:25)', 'Friday (13:25)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Friday (14:15)', 'Friday (15:15)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Monday (08:45)', 'Monday (09:45)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Monday (09:50)', 'Monday (10:50)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Monday (11:20)', 'Monday (12:20)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Monday (12:25)', 'Monday (13:25)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Monday (14:15)', 'Monday (15:15)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Tuesday (08:45)', 'Tuesday (09:45)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Tuesday (09:50)', 'Tuesday (10:50)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Tuesday (11:20)', 'Tuesday (12:20)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Tuesday (12:25)', 'Tuesday (13:25)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Tuesday (14:15)', 'Tuesday (15:15)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Wednesday (09:10)', 'Wednesday (10:05)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Wednesday (10:10)', 'Wednesday (11:05)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Wednesday (11:35)', 'Wednesday (12:30)']
['SUMMARY:ATAWHAI', 'LOCATION:O3', 'DESCRIPTION:ZHN', 'Wednesday (12:35)', 'Wednesday (13:30)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Wednesday (14:20)', 'Wednesday (15:15)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Thursday (08:45)', 'Thursday (09:45)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Thursday (09:50)', 'Thursday (10:50)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Thursday (11:20)', 'Thursday (12:20)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Thursday (12:25)', 'Thursday (13:25)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Thursday (14:15)', 'Thursday (15:15)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Friday (08:45)', 'Friday (09:45)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Friday (09:50)', 'Friday (10:50)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Friday (11:20)', 'Friday (12:20)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Friday (12:25)', 'Friday (13:25)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Friday (14:15)', 'Friday (15:15)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Monday (08:45)', 'Monday (09:45)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Monday (09:50)', 'Monday (10:50)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Monday (11:20)', 'Monday (12:20)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Monday (12:25)', 'Monday (13:25)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Monday (14:15)', 'Monday (15:15)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Tuesday (08:45)', 'Tuesday (09:45)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Tuesday (09:50)', 'Tuesday (10:50)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Tuesday (11:20)', 'Tuesday (12:20)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Tuesday (12:25)', 'Tuesday (13:25)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Tuesday (14:15)', 'Tuesday (15:15)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Wednesday (09:10)', 'Wednesday (10:05)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Wednesday (10:10)', 'Wednesday (11:05)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Wednesday (11:35)', 'Wednesday (12:30)']
['SUMMARY:ATAWHAI', 'LOCATION:O3', 'DESCRIPTION:ZHN', 'Wednesday (12:35)', 'Wednesday (13:30)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Wednesday (14:20)', 'Wednesday (15:15)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Thursday (08:45)', 'Thursday (09:45)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Thursday (09:50)', 'Thursday (10:50)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Thursday (11:20)', 'Thursday (12:20)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Thursday (12:25)', 'Thursday (13:25)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Thursday (14:15)', 'Thursday (15:15)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Friday (08:45)', 'Friday (09:45)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Friday (09:50)', 'Friday (10:50)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Friday (11:20)', 'Friday (12:20)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Friday (12:25)', 'Friday (13:25)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Friday (14:15)', 'Friday (15:15)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Monday (08:45)', 'Monday (09:45)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Monday (09:50)', 'Monday (10:50)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Monday (11:20)', 'Monday (12:20)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Monday (12:25)', 'Monday (13:25)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Monday (14:15)', 'Monday (15:15)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Tuesday (08:45)', 'Tuesday (09:45)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Tuesday (09:50)', 'Tuesday (10:50)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Tuesday (11:20)', 'Tuesday (12:20)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Tuesday (12:25)', 'Tuesday (13:25)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Tuesday (14:15)', 'Tuesday (15:15)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Wednesday (09:10)', 'Wednesday (10:05)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Wednesday (10:10)', 'Wednesday (11:05)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Wednesday (11:35)', 'Wednesday (12:30)']
['SUMMARY:ATAWHAI', 'LOCATION:O3', 'DESCRIPTION:ZHN', 'Wednesday (12:35)', 'Wednesday (13:30)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Wednesday (14:20)', 'Wednesday (15:15)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Thursday (08:45)', 'Thursday (09:45)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Thursday (09:50)', 'Thursday (10:50)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Thursday (11:20)', 'Thursday (12:20)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Thursday (12:25)', 'Thursday (13:25)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Thursday (14:15)', 'Thursday (15:15)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Friday (08:45)', 'Friday (09:45)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Friday (09:50)', 'Friday (10:50)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Friday (11:20)', 'Friday (12:20)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Friday (12:25)', 'Friday (13:25)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Friday (14:15)', 'Friday (15:15)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Monday (08:45)', 'Monday (09:45)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Monday (09:50)', 'Monday (10:50)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Monday (11:20)', 'Monday (12:20)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Monday (12:25)', 'Monday (13:25)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Monday (14:15)', 'Monday (15:15)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Tuesday (08:45)', 'Tuesday (09:45)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Tuesday (09:50)', 'Tuesday (10:50)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Tuesday (11:20)', 'Tuesday (12:20)']
['SUMMARY:L1ESS', 'LOCATION:S1', 'DESCRIPTION:PRI', 'Tuesday (12:25)', 'Tuesday (13:25)']
['SUMMARY:L1PHY', 'LOCATION:S11', 'DESCRIPTION:VAE', 'Tuesday (14:15)', 'Tuesday (15:15)']
['SUMMARY:L1MTH', 'LOCATION:M21', 'DESCRIPTION:MEY', 'Wednesday (09:10)', 'Wednesday (10:05)']
['SUMMARY:L1DTS', 'LOCATION:M10', 'DESCRIPTION:GAL', 'Wednesday (10:10)', 'Wednesday (11:05)']
['SUMMARY:L1ENE', 'LOCATION:L7', 'DESCRIPTION:BEJ', 'Wednesday (11:35)', 'Wednesday (12:30)']
['SUMMARY:ATAWHAI', 'LOCATION:O3', 'DESCRIPTION:ZHN', 'Wednesday (12:35)', 'Wednesday (13:30)']
['SUMMARY:L1MUS', 'LOCATION:P1', 'DESCRIPTION:MAK', 'Wednesday (14:20)', 'Wednesday (15:15)']
